,cX,cY,topoSig
70,14,18,000000000000000001111110001100000000000000001111111111110000000000000011111000000000000000000000001111000111100000000000000000111111000000010000000000000011111111111111000000000000001111111111000000000000000000111111110000000000000000000001111111111111
71,14,18,000001111111110000000000000000111111100011000000000000000111111111111100000000000000111100000000000000000000000011100001111000000000000000001111110000000100000000000000111111111111110000000000000011111111110000000000000000001111111100000000000000000000
72,10,14,00000000001100000000000000000011110000000000000000000000111100000000000000011111000000000000011110000000000000111111111000000000001000000011
73,9,14,000111111000000000100000000000000000111100000000000000000000111000000000000001111000000000001111100000000000111111110000000000
74,10,16,0000000000000000011100000000001111000000000000000001111111110000000000000001111000000000001111111100000000000011000000000000000000111000000000000000000000001111
75,10,16,1110000000000000000000000001110000000000111110000000000000000111111111000000000000000011100000000000111111110000000000001100000000000000000011110000000000000000
76,13,18,000000000000000000111111110000000000000011111111111100000000000001111111100000000000000000011001111111100000000000000111111111011100000000000000000001000000000000000000011111111111000000000000000000111111111100000000000001111111111111
77,13,16,0111111110011000000000000011110000000000000000000000000000011111100000000000000001111111000000000000000011111000000010000000000000111111110000000000000000000011111111111000000000000000000011111110000000000000
78,9,12,000000000110000000000000000111111011000000000111100000000000000100001111000000000111000000000000000000000001
79,10,12,001111111000000000001110000000000000000011111110110000000000111110000000000000001000001111000000000011110000000000000000
80,16,19,0000000000000000111100000000000000000000000000001111110000000011000000000000000011111111111101110000000000000000000000000001111100000000000000001111111010000000000000000000000011000000001111110000000000000000111111111111111000000000000000001111100000000000000000000000000010011111111111110000000000000000
81,17,20,1111111111111110000000000000000000111100000000000000000000000000000011111100000000111000000000000000001111111111110111100000000000000000000000000001111110000000000000000011111110100000000000000000000000001100000000111111100000000000000000111111111111111100000000000000000011111000000000000000000000000000001001111111111111100000000000000000
82,15,16,000000000000000000000011111001000000000000000111110000000011000000000000000100000000000000000000000000000001111110111111000000000000000000111111111111000000000000000111111111100000000000000000000111111000001111000000000000000000011111111111
83,15,16,001111111111111000000000000000000000011111001000000000000000111110000000011000000000000000100000000000000000000000000000000111110111111000000000000000000011111111111000000000000000111111111100000000000000000000111111000001111000000000000000
84,18,20,000000000000000000111000011111111110000000000000000000001111111100001111000000000000000000111111111111111111000000000000000000111111111111111111000000000000000000111111111000011111000000000000000000111111000000000011000000000000000000000011111110000111000000000000000000011111111111111111000000000000000000111111110000111111000000000000000000111110000000000000
85,10,17,00000000000000111111000000000000011111110000000000000000011100000000001100000000000000000011111100000000000000000001111100000000001000000011000000000000000000010000000000
86,8,12,000000000000011100000000011000000000000000111100000000001111111100000000000001100000000000001111
87,8,12,111111000000000000001111000000000110000000000000001110000000000011111111000000000000111000000000
88,13,20,00000000000001000000000000000000000000011110000000000000000000000000111111111100000000000000000111111111000000000000000000000111110000000000000000000111100000000000000000000000111111000000000000000111111111000000000000000000001111000000000000000000000000000001
